Date,FEDFUNDS,Notes,Rate Change (bps),Target Rate (%)
2019-05-01,2.39,0.0,0,2.0
2019-06-01,2.38,0.0,0,2.0
2019-07-01,2.4,0.0,0,2.0
2019-08-01,2.13,0.0,0,2.0
2019-09-01,2.04,0.0,0,2.0
2019-10-01,1.83,0.0,0,1.75
2019-11-01,1.55,0.0,0,1.5
2019-12-01,1.55,0.0,0,1.5
2020-01-01,1.55,0.0,0,1.5
2020-02-01,1.58,0.0,0,1.5
2020-03-01,0.65,0.0,0,1.5
2020-04-01,0.05,0.0,0,0.0
2020-05-01,0.05,0.0,0,0.0
2020-06-01,0.08,0.0,0,0.0
2020-07-01,0.09,0.0,0,0.0
2020-08-01,0.1,0.0,0,0.0
2020-09-01,0.09,0.0,0,0.0
2020-10-01,0.09,0.0,0,0.0
2020-11-01,0.09,0.0,0,0.0
2020-12-01,0.09,0.0,0,0.0
2021-01-01,0.09,0.0,0,0.0
2021-02-01,0.08,0.0,0,0.0
2021-03-01,0.07,0.0,0,0.0
2021-04-01,0.07,0.0,0,0.0
2021-05-01,0.06,0.0,0,0.0
2021-06-01,0.08,0.0,0,0.0
2021-07-01,0.1,0.0,0,0.0
2021-08-01,0.09,0.0,0,0.0
2021-09-01,0.08,0.0,0,0.0
2021-10-01,0.08,0.0,0,0.0
2021-11-01,0.08,0.0,0,0.0
2021-12-01,0.08,0.0,0,0.0
2022-01-01,0.08,0.0,0,0.0
2022-02-01,0.08,0.0,0,0.0
2022-03-01,0.2,0.0,0,0.0
2022-04-01,0.33,0.0,0,0.25
2022-05-01,0.77,0.0,0,0.25
2022-06-01,1.21,0.0,0,0.75
2022-07-01,1.68,0.0,0,1.5
2022-08-01,2.33,0.0,0,2.25
2022-09-01,2.56,0.0,0,2.25
2022-10-01,3.08,0.0,0,3.0
2022-11-01,3.78,0.0,0,3.0
2022-12-01,4.1,0.0,0,3.75
2023-01-01,4.33,0.0,0,4.25
2023-02-01,4.57,0.0,+25,4.5
2023-03-01,4.65,0.0,0,4.5
2023-04-01,4.83,0.0,0,4.75
2023-05-01,5.06,0.0,0,4.75
2023-06-01,5.08,0.0,0,5.0
2023-07-01,5.12,0.0,0,5.0
2023-08-01,5.33,0.0,0,5.25
2023-09-01,5.33,0.0,0,5.25
2023-10-01,5.33,0.0,0,5.25
2023-11-01,5.33,0.0,0,5.25
2023-12-01,5.33,0.0,0,5.25
2024-01-01,5.33,0.0,0,5.25
2024-02-01,5.33,0.0,0,5.25
2024-03-01,5.33,0.0,0,5.25
2024-04-01,5.33,0.0,0,5.25
2024-05-01,5.33,0.0,0,5.25
2024-06-01,5.33,0.0,0,5.25
2024-07-01,5.33,0.0,0,5.25
2024-08-01,5.33,0.0,0,5.25
2024-09-01,5.13,0.0,0,5.25
2024-10-01,4.83,0.0,0,4.75
2024-11-01,4.64,0.0,0,4.75
2024-12-01,4.48,0.0,0,4.5
2025-01-01,4.33,,,
2025-02-01,4.33,,,
2025-03-01,4.33,,,
2025-04-01,4.33,,,
